0.00381 -0.3628 0.9319   0.00381 -0.3628 0.9319
-0.2415 -0.3314 0.9121   -0.2415 -0.3314 0.9121
-0.2148 -0.03893 0.4498   0.4296 0.07785 -0.8996
-0.1748 0.4 -0.2438   0.3495 -0.8 0.4877
-0.1481 0.6925 -0.7061   -0.1481 0.6925 -0.7061
-0.06712 0.6967 -0.7142   -0.06712 0.6967 -0.7142
0.9397 0.01699 0.3415   0.9397 0.01699 0.3415
0.9321 -0.07624 0.354   0.9321 -0.07624 0.354
-0.3103 -0.7007 -0.6425   -0.3103 -0.7007 -0.6425
-0.345 -0.7398 -0.5776   -0.345 -0.7398 -0.5776
0.1241 -0.7122 0.6909   0.1241 -0.7122 0.6909
0.1852 -0.5264 0.8298   0.1852 -0.5264 0.8298
0.2496 0.4315 0.8669   0.2496 0.4315 0.8669
0.2004 0.4978 0.8438   0.2004 0.4978 0.8438
-0.4445 -0.724 0.5275   -0.4445 -0.724 0.5275
-0.4197 -0.7797 0.4647   -0.4197 -0.7797 0.4647
0.1046 -0.4097 0.2669   -0.2092 0.8193 -0.5338
0.4523 -0.1643 0.1357   -0.9046 0.3286 -0.2714
0.9766 0.2057 -0.0621   0.9766 0.2057 -0.0621
0.9458 0.3036 -0.1156   0.9458 0.3036 -0.1156
-0.5213 0.7655 -0.3771   -0.5213 0.7655 -0.3771
-0.6002 0.7167 -0.355   -0.6002 0.7167 -0.355
-0.4003 0.2696 -0.1307   0.8006 -0.5391 0.2614
-0.08371 -0.4388 0.2247   0.1674 0.8776 -0.4493
0.1162 -0.886 0.449   0.1162 -0.886 0.449
0.1237 -0.8277 0.5473   0.1237 -0.8277 0.5473
-0.1072 0.2505 0.9622   -0.1072 0.2505 0.9622
-0.1268 0.3482 0.9288   -0.1268 0.3482 0.9288
-0.07009 0.1149 0.4815   0.1402 -0.2299 -0.9631
0.03827 -0.3307 -0.3731   -0.07654 0.6614 0.7461
0.09498 -0.5639 -0.8203   0.09498 -0.5639 -0.8203
0.08196 -0.4764 -0.8754   0.08196 -0.4764 -0.8754
-0.1533 0.8213 -0.5494   -0.1533 0.8213 -0.5494
-0.1501 0.8472 -0.5096   -0.1501 0.8472 -0.5096
0.0228 0.1687 -0.4701   -0.04561 -0.3373 0.9403
0.1135 -0.1873 -0.4495   -0.227 0.3747 0.8989
0.2864 -0.8659 -0.4101   0.2864 -0.8659 -0.4101
0.1134 -0.978 -0.1754   0.1134 -0.978 -0.1754
-0.1418 -0.9832 0.1153   -0.1418 -0.9832 0.1153
-0.3658 -0.8888 0.2762   -0.3658 -0.8888 0.2762
