/*
Absorption coefficient of pure water compiled from data presented
in the following papers:

Segelstein, D. J. (1981). The complex refractive index of water
(Doctoral dissertation, University of Missouri--Kansas City).

Wieliczka, D. M., Weng, S., & Querry, M. R. (1989). Wedge shaped cell
for highly absorbent liquids: infrared optical constants of
water. Applied optics, 28(9), 1714-1719.

Pope, R. M., & Fry, E. S. (1997). Absorption spectrum (380–700 nm) of
pure water. II. Integrating cavity measurements. Applied optics,
36(33), 8710-8723.

Sogandares, F. M., & Fry, E. S. (1997). Absorption spectrum (340–640
nm) of pure water. I. Photothermal measurements. Applied Optics,
36(33), 8699-8709.

Mason, J. D., Cone, M. T., & Fry, E. S. (2016). Ultraviolet (250–550
nm) absorption spectrum of pure water. Applied optics, 55(25),
7163-7172.

Column 1: wavelength [m].
Column 2: absorption coefficient [1/m].
*/

4.47817e-07 7.45317e-03
4.54051e-07 8.63356e-03
4.60372e-07 9.13423e-03
4.66781e-07 9.86767e-03
4.73278e-07 1.08726e-02
4.79867e-07 1.21151e-02
4.86547e-07 1.35084e-02
4.93320e-07 1.61228e-02
5.00187e-07 2.08831e-02
5.07150e-07 2.83844e-02
5.14210e-07 3.74666e-02
5.21368e-07 3.94775e-02
5.28626e-07 4.18692e-02
5.35985e-07 4.54021e-02
5.43446e-07 4.99582e-02
5.51012e-07 5.74908e-02
5.58682e-07 6.12120e-02
5.66459e-07 6.59362e-02
5.74345e-07 7.61601e-02
5.82340e-07 9.82790e-02
5.90447e-07 1.37916e-01
5.98666e-07 2.05928e-01
6.07000e-07 2.61854e-01
6.15450e-07 2.68321e-01
6.24018e-07 2.82456e-01
6.32704e-07 2.99639e-01
6.41512e-07 3.17532e-01
6.50442e-07 3.43123e-01
6.59497e-07 4.06527e-01
6.68678e-07 4.37412e-01
6.77986e-07 4.61776e-01
6.87424e-07 5.01508e-01
6.96994e-07 5.85172e-01
7.06696e-07 7.38898e-01
7.16534e-07 1.07437e+00
7.26509e-07 1.60042e+00
7.36622e-07 2.37607e+00
7.46877e-07 2.59461e+00
7.57274e-07 2.62189e+00
7.67815e-07 2.52471e+00
7.78504e-07 2.30104e+00
7.89341e-07 2.06295e+00
8.00330e-07 1.96564e+00
8.11471e-07 2.13525e+00
8.22767e-07 2.66538e+00
8.34220e-07 3.30267e+00
8.45833e-07 4.04337e+00
8.57608e-07 4.80196e+00
8.69547e-07 5.34446e+00
8.81651e-07 5.88780e+00
8.93925e-07 6.42296e+00
9.06369e-07 7.25653e+00
9.18986e-07 1.08209e+01
9.31779e-07 2.06427e+01
9.44750e-07 3.44814e+01
9.57902e-07 4.32903e+01
9.71236e-07 4.52640e+01
9.84757e-07 4.24508e+01
9.98465e-07 3.82985e+01
1.01236e-06 3.21347e+01
1.02646e-06 2.61019e+01
1.04075e-06 2.01401e+01
1.05523e-06 1.60504e+01
1.06992e-06 1.48615e+01
1.08482e-06 1.65140e+01
1.09992e-06 1.98344e+01
1.11523e-06 2.69136e+01
1.13076e-06 4.44257e+01
1.14650e-06 8.49841e+01
1.16246e-06 1.17443e+02
1.17864e-06 1.23143e+02
1.19505e-06 1.25142e+02
1.21168e-06 1.23412e+02
1.22855e-06 1.18905e+02
1.24565e-06 1.12504e+02
1.26299e-06 1.07721e+02
1.28057e-06 1.12799e+02
1.29840e-06 1.32253e+02
1.31648e-06 1.72239e+02
1.33480e-06 2.37356e+02
1.35338e-06 3.90822e+02
1.37222e-06 5.53391e+02
1.39133e-06 1.00529e+03
1.41069e-06 2.35282e+03
1.43033e-06 3.11892e+03
1.45024e-06 3.14788e+03
1.47043e-06 2.84698e+03
1.49090e-06 2.17688e+03
1.51166e-06 1.59906e+03
1.53270e-06 1.29208e+03
1.55404e-06 1.04907e+03
1.57567e-06 8.80343e+02
1.59760e-06 7.45105e+02
1.61984e-06 6.51991e+02
1.64239e-06 5.99845e+02
1.66526e-06 5.58485e+02
1.68844e-06 5.64588e+02
1.71194e-06 5.95114e+02
1.73577e-06 6.65247e+02
1.75994e-06 7.44066e+02
1.78444e-06 8.96365e+02
1.80928e-06 9.51033e+02
1.83446e-06 1.01603e+03
1.86000e-06 1.99213e+03
1.88589e-06 5.80361e+03
1.91215e-06 1.12540e+04
1.93876e-06 1.23943e+04
1.96575e-06 1.01547e+04
1.99312e-06 7.64878e+03
2.02086e-06 5.37204e+03
2.04900e-06 4.22031e+03
2.07752e-06 3.26487e+03
2.10644e-06 2.66257e+03
2.13576e-06 2.26979e+03
2.16549e-06 2.04619e+03
2.19564e-06 1.93607e+03
2.22620e-06 1.94707e+03
2.25719e-06 2.15389e+03
2.28862e-06 2.44839e+03
2.32048e-06 2.82251e+03
2.35278e-06 3.47006e+03
2.38553e-06 4.34594e+03
2.41874e-06 5.47570e+03
2.45241e-06 7.09859e+03
2.48655e-06 9.04083e+03
2.52116e-06 9.95744e+03
2.55626e-06 1.07115e+04
2.59185e-06 1.19154e+04
2.62793e-06 1.79482e+04
2.66451e-06 3.24041e+04
2.70160e-06 7.26404e+04
2.73921e-06 2.03323e+05
2.77734e-06 4.11122e+05
2.81600e-06 6.17797e+05
2.85520e-06 8.85187e+05
2.89495e-06 1.10717e+06
2.93525e-06 1.19944e+06
2.97611e-06 1.16722e+06
3.01754e-06 1.07998e+06
3.05955e-06 9.34123e+05
3.10214e-06 7.49642e+05
3.14532e-06 5.48549e+05
3.18911e-06 3.91685e+05
3.23350e-06 2.72621e+05
3.27851e-06 1.79959e+05
3.32415e-06 1.19771e+05
3.37043e-06 8.54514e+04
3.41735e-06 6.15816e+04
3.46492e-06 4.33773e+04
3.51315e-06 3.05765e+04
3.56206e-06 2.21165e+04
3.61165e-06 1.69342e+04
3.66192e-06 1.38805e+04
3.71290e-06 1.19779e+04
3.76459e-06 1.13560e+04
3.81699e-06 1.13425e+04
